variant,seed,acc_train,acc_test,t_repr_s,t_fit_s,t_eval_s,t_total_s,dim,wl_t,wl_kmax,dw_p,dw_R,dw_t,dw_kmax,mlp_p,mlp_R,mlp_t,mlp_kmax,mlp_layers,mlp_hidden,mlp_d,mlp_act,p,n,variant_dir
WL,20250925,0.6095238095238096,0.6722222222222223,0.0328140258789062,0.0057358741760253,0.0007858276367187,0.0406949520111084,8,3,8,0.1,50,3,20,0.1,50,3,20,2,128,64,relu,,8,WL
WL,20250926,0.6392857142857142,0.5972222222222222,0.0318748950958251,0.0030982494354248,0.0009469985961914,0.0369110107421875,8,3,8,0.1,50,3,20,0.1,50,3,20,2,128,64,relu,,8,WL
WL,20250927,0.6571428571428571,0.5638888888888889,0.031783103942871,0.0026538372039794,0.0007681846618652,0.0361561775207519,8,3,8,0.1,50,3,20,0.1,50,3,20,2,128,64,relu,,8,WL
WL,20250928,0.6273809523809524,0.6055555555555555,0.0317697525024414,0.0026328563690185,0.0007500648498535,0.036074161529541,8,3,8,0.1,50,3,20,0.1,50,3,20,2,128,64,relu,,8,WL
WL,20250925,0.6095238095238096,0.6722222222222223,0.0346829891204834,0.0213980674743652,0.0008981227874755,0.0627403259277343,8,3,8,0.1,50,3,8,0.1,50,3,8,10,20,64,relu,,8,_smoke
WL,20250926,0.6392857142857142,0.5972222222222222,0.0325849056243896,0.0047929286956787,0.0011737346649169,0.0395689010620117,8,3,8,0.1,50,3,8,0.1,50,3,8,10,20,64,relu,,8,_smoke
WL,20250927,0.6571428571428571,0.5638888888888889,0.0338611602783203,0.0032620429992675,0.0008487701416015,0.0390059947967529,8,3,8,0.1,50,3,8,0.1,50,3,8,10,20,64,relu,,8,_smoke
WL,20250928,0.6273809523809524,0.6055555555555555,0.0314199924468994,0.002993106842041,0.0007691383361816,0.0361158847808837,8,3,8,0.1,50,3,8,0.1,50,3,8,10,20,64,relu,,8,_smoke
WL,20250925,0.6095238095238096,0.6722222222222223,0.0334279537200927,0.0099027156829833,0.0008010864257812,0.0483970642089843,20,3,20,0.1,50,3,20,0.2,50,3,8,2,128,64,relu,,8,dropWL-MLP
WL,20250926,0.6392857142857142,0.5972222222222222,0.034524917602539,0.0051820278167724,0.0009009838104248,0.0420491695404052,20,3,20,0.1,50,3,20,0.2,50,3,8,2,128,64,relu,,8,dropWL-MLP
WL,20250927,0.6571428571428571,0.5638888888888889,0.0317418575286865,0.0037713050842285,0.0007197856903076,0.0375480651855468,20,3,20,0.1,50,3,20,0.2,50,3,8,2,128,64,relu,,8,dropWL-MLP
WL,20250928,0.6273809523809524,0.6055555555555555,0.0313327312469482,0.0025990009307861,0.0006802082061767,0.0355200767517089,20,3,20,0.1,50,3,20,0.2,50,3,8,2,128,64,relu,,8,dropWL-MLP
WL,20250925,0.6095238095238096,0.6722222222222223,0.0355541706085205,0.0068249702453613,0.0008010864257812,0.0446069240570068,20,3,20,0.1,50,3,20,0.1,50,3,8,5,2,32,relu,,8,dropWL-MLP_L5_W2_d32
WL,20250926,0.6392857142857142,0.5972222222222222,0.0336649417877197,0.0031938552856445,0.0007619857788085,0.0384659767150878,20,3,20,0.1,50,3,20,0.1,50,3,8,5,2,32,relu,,8,dropWL-MLP_L5_W2_d32
WL,20250927,0.6571428571428571,0.5638888888888889,0.0347700119018554,0.0033180713653564,0.0007722377777099,0.0396840572357177,20,3,20,0.1,50,3,20,0.1,50,3,8,5,2,32,relu,,8,dropWL-MLP_L5_W2_d32
WL,20250928,0.6273809523809524,0.6055555555555555,0.0343821048736572,0.0052218437194824,0.0009090900421142,0.0413901805877685,20,3,20,0.1,50,3,20,0.1,50,3,8,5,2,32,relu,,8,dropWL-MLP_L5_W2_d32
WL,20250925,0.6095238095238096,0.6722222222222223,0.0357890129089355,0.0135450363159179,0.0009031295776367,0.0516431331634521,20,3,20,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,dropWL-mean
WL,20250926,0.6392857142857142,0.5972222222222222,0.0321412086486816,0.0033040046691894,0.000972032546997,0.0372793674468994,20,3,20,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,dropWL-mean
WL,20250927,0.6571428571428571,0.5638888888888889,0.0324249267578125,0.003180980682373,0.0007679462432861,0.0372452735900878,20,3,20,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,dropWL-mean
WL,20250928,0.6273809523809524,0.6055555555555555,0.0332200527191162,0.0033009052276611,0.0007879734039306,0.0381999015808105,20,3,20,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,dropWL-mean
WL,20250925,0.6095238095238096,0.6722222222222223,0.0333847999572753,0.0044159889221191,0.0007407665252685,0.0398228168487548,8,3,8,0.1,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R100
WL,20250926,0.6392857142857142,0.5972222222222222,0.0315480232238769,0.0027117729187011,0.0009441375732421,0.0362849235534668,8,3,8,0.1,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R100
WL,20250927,0.6571428571428571,0.5638888888888889,0.0312719345092773,0.0029351711273193,0.0007939338684082,0.0359408855438232,8,3,8,0.1,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R100
WL,20250928,0.6273809523809524,0.6055555555555555,0.0314419269561767,0.002655029296875,0.0007088184356689,0.0357530117034912,8,3,8,0.1,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R100
WL,20250925,0.6095238095238096,0.6722222222222223,0.0334279537200927,0.0048587322235107,0.000978946685791,0.0406129360198974,8,3,8,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R50
WL,20250926,0.6392857142857142,0.5972222222222222,0.0314910411834716,0.0034101009368896,0.0007688999176025,0.0367500782012939,8,3,8,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R50
WL,20250927,0.6571428571428571,0.5638888888888889,0.0315761566162109,0.0025839805603027,0.0007100105285644,0.0359208583831787,8,3,8,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R50
WL,20250928,0.6273809523809524,0.6055555555555555,0.0314419269561767,0.0026488304138183,0.00071382522583,0.0357189178466796,8,3,8,0.1,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.1_R50
WL,20250925,0.6095238095238096,0.6722222222222223,0.0343470573425293,0.0049021244049072,0.0008161067962646,0.0414371490478515,8,3,8,0.2,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R100
WL,20250926,0.6392857142857142,0.5972222222222222,0.0319659709930419,0.0026600360870361,0.0007221698760986,0.0364501476287841,8,3,8,0.2,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R100
WL,20250927,0.6571428571428571,0.5638888888888889,0.0329630374908447,0.0028090476989746,0.0008060932159423,0.0375070571899414,8,3,8,0.2,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R100
WL,20250928,0.6273809523809524,0.6055555555555555,0.0321652889251709,0.0043530464172363,0.0008049011230468,0.0390069484710693,8,3,8,0.2,100,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R100
WL,20250925,0.6095238095238096,0.6722222222222223,0.0330848693847656,0.0048377513885498,0.0008208751678466,0.0401289463043212,8,3,8,0.2,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R50
WL,20250926,0.6392857142857142,0.5972222222222222,0.0333321094512939,0.0026543140411376,0.000709056854248,0.0376660823822021,8,3,8,0.2,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R50
WL,20250927,0.6571428571428571,0.5638888888888889,0.0317459106445312,0.0027620792388916,0.0007750988006591,0.0362131595611572,8,3,8,0.2,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R50
WL,20250928,0.6273809523809524,0.6055555555555555,0.0328230857849121,0.0032620429992675,0.0008089542388916,0.0379760265350341,8,3,8,0.2,50,3,8,0.1,50,3,20,2,128,64,relu,,8,p0.2_R50
WL,20250925,0.6095238095238096,0.6722222222222223,0.0320961475372314,0.004249095916748,0.0007157325744628,0.0384798049926757,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,32,relu,,8,p0.1_R100_L10_H128_D32_relu
WL,20250926,0.6392857142857142,0.5972222222222222,0.0307710170745849,0.0024421215057373,0.0006918907165527,0.0348730087280273,8,3,8,0.1,50,3,20,0.1,100,3,8,10,128,32,relu,,8,p0.1_R100_L10_H128_D32_relu
