variant,n,mean,std,count
WL,8,0.6333333333333333,0.017374720013753113,420
WL,16,0.8038690476190476,0.0039867126591818566,412
WL,24,0.9238095238095239,0.004841616463466595,412
WL,32,0.992287910309755,0.0028808464508126718,412
WL,40,0.9988037447988904,8.28434394064303e-05,412
WL,44,0.9999364308830327,0.00047279391538733434,412
dropWL-mean,8,0.7239583333333334,0.008523997166634514,8
dropWL-mean,16,0.9793650793650793,0.0020515248496555446,12
dropWL-mean,24,0.9999007936507937,0.0003436608745176289,12
dropWL-mean,32,0.9999007936507937,0.00034366087451763347,12
dropWL-mean,40,1.0,0.0,12
dropWL-mean,44,1.0,0.0,12
dropWL+MLP,8,0.675504130223518,0.02265770939809322,196
dropWL+MLP,16,0.9369472789115646,0.03524835984710719,196
dropWL+MLP,24,0.9491314382896016,0.03529759648764246,196
dropWL+MLP,32,0.9823979591836736,0.03571621891389732,196
dropWL+MLP,40,0.996155247813411,0.0034783018820531892,196
dropWL+MLP,44,0.9886965500485909,0.07072881675142069,196
